iter	Passed	Remaining
0	15	15077
1	28	14129
2	41	13759
3	54	13448
4	66	13311
5	79	13208
6	93	13204
7	105	13122
8	118	13053
9	131	13008
10	143	12940
11	156	12923
12	169	12873
13	182	12840
14	194	12780
15	207	12746
16	220	12727
17	233	12712
18	245	12678
19	258	12669
20	271	12643
21	283	12602
22	296	12591
23	309	12566
24	321	12532
25	334	12524
26	346	12501
27	358	12460
28	372	12474
29	384	12446
30	397	12433
31	410	12412
32	422	12388
33	434	12358
34	447	12334
35	459	12304
36	472	12288
37	484	12262
38	497	12256
39	509	12227
40	522	12216
41	534	12191
42	546	12170
43	560	12176
44	573	12173
45	585	12146
46	597	12121
47	610	12112
48	623	12101
49	635	12083
50	648	12072
51	661	12055
52	674	12045
53	686	12031
54	699	12025
55	713	12025
56	725	12004
57	737	11980
58	750	11962
59	762	11950
60	774	11929
61	787	11906
62	799	11888
63	811	11867
64	824	11859
65	837	11849
66	850	11847
67	863	11838
68	876	11820
69	888	11799
70	900	11781
71	912	11766
72	925	11755
73	937	11734
