iter	Logloss
0	0.6930692733
5	0.6927391461
10	0.6923946337
15	0.6920673036
20	0.6917476989
25	0.6914528687
30	0.6911601031
35	0.6908507545
40	0.690575371
45	0.6902842704
50	0.6899982312
55	0.6897305064
60	0.6894767008
65	0.6892181666
70	0.6889797451
75	0.6887312673
80	0.6885015701
85	0.6882812633
90	0.6880722782
95	0.6878471097
100	0.6876340621
105	0.6874255432
110	0.6872200212
115	0.6870295504
120	0.6868519997
125	0.6866663239
130	0.6864927024
135	0.6863236762
140	0.6861351368
145	0.6859791638
150	0.6858081397
155	0.685643509
160	0.6854870032
165	0.6853467475
170	0.6851780542
175	0.6850492534
180	0.6848954115
185	0.6847686086
190	0.6846249563
195	0.684504347
200	0.6843784764
205	0.6842494091
210	0.6841426522
215	0.6840231751
220	0.6838865822
225	0.683770435
230	0.683644964
235	0.683520825
240	0.6834144011
245	0.6833111739
250	0.6832231977
255	0.6831079828
260	0.6830210722
265	0.6829175786
270	0.6828064262
275	0.6827159859
280	0.6826135579
285	0.6825195213
290	0.6824285481
295	0.6823327133
300	0.6822242249
305	0.6821209311
310	0.6820220994
315	0.681920404
320	0.6818214391
325	0.6817385243
330	0.681655876
335	0.6815681662
340	0.6814974389
345	0.6814131922
350	0.6813361381
355	0.681260416
360	0.6811529931
365	0.6810758724
370	0.6809909597
375	0.6809290234
380	0.6808513699
385	0.6807977584
390	0.6806973949
395	0.6806262014
400	0.6805402232
405	0.6804796188
410	0.6804108229
415	0.6803417606
420	0.6802691686
425	0.6801971093
430	0.6801405009
435	0.6800794303
440	0.6799971816
445	0.6799243231
450	0.6798589903
455	0.6797879967
460	0.6797097438
465	0.6796432788
470	0.6795681561
475	0.6794973622
480	0.6794380232
485	0.6793709588
490	0.6793083565
495	0.6792480186
500	0.6791752268
505	0.6790974401
510	0.6790315745
515	0.6789754322
520	0.6789124303
525	0.6788524253
530	0.6788044081
535	0.6787205609
540	0.6786624873
