iter	Passed	Remaining
0	9	9884
1	19	9535
2	28	9319
3	37	9235
4	45	9153
5	55	9126
6	63	9070
7	72	9015
8	81	8967
9	90	8951
10	99	8942
11	108	8893
12	116	8868
13	125	8854
14	134	8821
15	143	8817
16	151	8786
17	160	8760
18	169	8749
19	178	8734
20	187	8734
21	196	8718
22	205	8713
23	213	8697
24	222	8684
25	231	8667
26	240	8653
27	248	8642
28	257	8620
29	265	8597
30	274	8576
31	282	8556
32	291	8553
33	300	8547
34	309	8533
35	318	8525
36	327	8514
37	335	8505
38	344	8496
39	353	8482
40	362	8472
41	370	8454
42	379	8434
43	387	8412
44	395	8400
45	404	8394
46	413	8387
47	422	8378
48	430	8360
49	439	8349
50	448	8338
51	456	8330
52	465	8323
53	474	8311
54	482	8290
55	492	8299
56	500	8287
57	509	8273
58	517	8255
59	526	8245
60	535	8238
61	544	8230
62	552	8218
63	561	8208
64	569	8193
65	578	8182
66	586	8166
67	595	8156
68	604	8149
69	612	8138
70	621	8130
71	629	8116
72	638	8106
