iter	Passed	Remaining
0	14	14892
1	28	13986
2	42	14034
3	55	13726
4	68	13536
5	81	13507
6	94	13374
7	107	13319
8	120	13286
9	134	13321
10	147	13301
11	161	13271
12	174	13224
13	187	13197
14	199	13123
15	212	13089
16	226	13081
17	239	13066
18	252	13019
19	265	13007
20	278	12972
21	290	12928
22	303	12889
23	315	12845
24	328	12807
25	341	12785
26	354	12759
27	366	12724
28	379	12711
29	392	12676
30	404	12652
31	417	12625
32	430	12600
33	442	12569
34	454	12539
35	467	12506
36	479	12485
37	491	12453
38	505	12443
39	517	12411
40	530	12400
41	542	12375
42	555	12354
43	567	12333
44	580	12324
45	592	12296
46	605	12274
47	618	12258
48	630	12242
49	643	12223
50	656	12209
51	668	12192
52	681	12182
53	694	12162
54	707	12150
55	720	12141
56	732	12116
57	744	12091
58	756	12070
59	769	12056
60	781	12036
61	793	12011
62	806	11992
63	818	11969
64	831	11960
65	844	11946
66	857	11938
67	870	11929
68	882	11910
69	894	11888
70	907	11868
71	919	11853
72	932	11842
73	944	11821
